timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529993197541,3016,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2328,text,false,,2131,0,4878,4878,0,0,3016
1529993197530,3062,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2273,text,false,,2131,0,4877,4877,0,0,3062
1529993197534,3229,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2255,text,false,,2131,0,4869,4869,0,0,3229
1529993197542,3222,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2331,text,false,,2131,0,4868,4868,0,0,3222
1529993197546,3219,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1180,text,false,,2131,0,4866,4866,0,0,3219
1529993197535,3346,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1195,text,false,,2131,0,4811,4811,0,0,3346
1529993197545,3337,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1525,text,false,,2131,0,4809,4809,0,0,3337
1529993197641,3373,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1003,text,false,,2131,0,4779,4779,0,0,3373
1529993197666,3386,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2323,text,false,,2131,0,4777,4777,0,0,3386
1529993197659,3418,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2189,text,false,,2131,0,4776,4776,0,0,3418
1529993197537,3540,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1183,text,false,,2131,0,4776,4776,0,0,3540
1529993197698,3379,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1378,text,false,,2131,0,4776,4776,0,0,3379
1529993197680,3398,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2395,text,false,,2131,0,4776,4776,0,0,3398
1529993197702,3375,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1340,text,false,,2131,0,4776,4776,0,0,3375
1529993197694,3384,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1398,text,false,,2131,0,4775,4775,0,0,3384
1529993197648,3430,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1911,text,false,,2131,0,4775,4775,0,0,3430
1529993197548,3530,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1511,text,false,,2131,0,4774,4774,0,0,3530
1529993197664,3414,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1531,text,false,,2131,0,4774,4774,0,0,3414
1529993197540,3538,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1521,text,false,,2131,0,4773,4773,0,0,3538
1529993197646,3432,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1095,text,false,,2131,0,4771,4771,0,0,3432
1529993197669,3409,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2281,text,false,,2131,0,4770,4770,0,0,3409
1529993197656,3423,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2029,text,false,,2131,0,4769,4769,0,0,3423
1529993197533,3546,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-2253,text,false,,2131,0,4769,4769,0,0,3546
1529993197645,3434,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1793,text,false,,2131,0,4767,4767,0,0,3434
1529993197535,3544,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1545,text,false,,2131,0,4765,4765,0,0,3544
1529993197693,3386,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1408,text,false,,2131,0,4765,4765,0,0,3386
1529993197535,3544,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1194,text,false,,2131,0,4763,4763,0,0,3544
1529993197544,3535,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1524,text,false,,2131,0,4763,4763,0,0,3535
1529993197624,3456,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,Thread Group 1-1822,text,false,,2131,0,4762,4762,0,0,3456
